"evt","SOA","Latency","Offset","evt_num","evt_fin","note"
"DI20",0,23349,0,20,NA,"not specified - std_aft/nov"
"DI11",500,23849,500,11,NA,"ignore"
"DIN1",500,24349,500,1,"stand",NA
"DIN1",500,24849,500,1,"stand",NA
"DI22",511,25360,511,22,"Cat_A_S?_Dog_V",NA
"DI11",500,25860,500,11,NA,"ignore"
"DIN1",500,26360,500,1,"stand",NA
"DI31",514,26874,514,31,"Dog_A_S?_Dog_V",NA
"DI11",500,27374,500,11,NA,"ignore"
"DIN1",500,27874,500,1,"stand",NA
"DI10",514,28388,514,10,NA,"not specified - std_aft/nov"
"DI11",500,28888,500,11,NA,"ignore"
"D202",254,29142,254,202,"Response",NA
"DIN1",246,29388,246,1,"stand",NA
"DIN1",500,29888,500,1,"stand",NA
"DI32",511,30399,511,32,"Dog_A_S?_Cat_V",NA
"DI11",500,30899,500,11,NA,"ignore"
"DIN1",500,31399,500,1,"stand",NA
"DI32",514,31913,514,32,"Dog_A_S?_Cat_V",NA
"DI11",499,32412,499,11,NA,"ignore"
"DIN1",501,32913,501,1,"stand",NA
"DI20",513,33426,513,20,NA,"not specified - std_aft/nov"
"DI11",500,33926,500,11,NA,"ignore"
"DIN1",500,34426,500,1,"stand",NA
"DIN1",500,34926,500,1,"stand",NA
"DI22",512,35438,512,22,"Cat_A_S?_Dog_V",NA
"DI11",500,35938,500,11,NA,"ignore"
"DIN1",500,36438,500,1,"stand",NA
"DI22",514,36952,514,22,"Cat_A_S?_Dog_V",NA
"DI11",500,37452,500,11,NA,"ignore"
"DIN1",500,37952,500,1,"stand",NA
"DIN1",500,38452,500,1,"stand",NA
"DI22",511,38963,511,22,"Cat_A_S?_Dog_V",NA
"DI11",500,39463,500,11,NA,"ignore"
"DIN1",500,39963,500,1,"stand",NA
"DIN1",500,40463,500,1,"stand",NA
"DI10",512,40975,512,10,NA,"not specified - std_aft/nov"
"DI11",500,41475,500,11,NA,"ignore"
"D202",131,41606,131,202,"Response",NA
"DIN1",369,41975,369,1,"stand",NA
"DIN1",500,42475,500,1,"stand",NA
"DI32",511,42986,511,32,"Dog_A_S?_Cat_V",NA
"DI11",500,43486,500,11,NA,"ignore"
"DIN1",500,43986,500,1,"stand",NA
"DI21",514,44500,514,21,"Cat_A_S?_Cat_V",NA
"DI11",500,45000,500,11,NA,"ignore"
"DIN1",500,45500,500,1,"stand",NA
"DI20",513,46013,513,20,NA,"not specified - std_aft/nov"
"DI11",500,46513,500,11,NA,"ignore"
"DIN1",500,47013,500,1,"stand",NA
"DIN1",500,47513,500,1,"stand",NA
"DI22",511,48024,511,22,"Cat_A_S?_Dog_V",NA
"DI11",500,48524,500,11,NA,"ignore"
"DIN1",500,49024,500,1,"stand",NA
"DIN1",500,49524,500,1,"stand",NA
"DI22",512,50036,512,22,"Cat_A_S?_Dog_V",NA
"DI11",500,50536,500,11,NA,"ignore"
"DIN1",500,51036,500,1,"stand",NA
"DI22",513,51549,513,22,"Cat_A_S?_Dog_V",NA
"DI11",500,52049,500,11,NA,"ignore"
"DIN1",500,52549,500,1,"stand",NA
"DIN1",500,53049,500,1,"stand",NA
"DI10",512,53561,512,10,NA,"not specified - std_aft/nov"
"DI11",501,54062,501,11,NA,"ignore"
"DIN1",500,54562,500,1,"stand",NA
"DIN1",500,55062,500,1,"stand",NA
"DI32",511,55573,511,32,"Dog_A_S?_Cat_V",NA
"DI11",500,56073,500,11,NA,"ignore"
"D202",221,56294,221,202,"Response",NA
"DIN1",279,56573,279,1,"stand",NA
"DIN1",500,57073,500,1,"stand",NA
"DI21",511,57584,511,21,"Cat_A_S?_Cat_V",NA
"DI11",500,58084,500,11,NA,"ignore"
"DIN1",500,58584,500,1,"stand",NA
"DI32",514,59098,514,32,"Dog_A_S?_Cat_V",NA
"DI11",500,59598,500,11,NA,"ignore"
"DIN1",500,60098,500,1,"stand",NA
"DIN1",500,60598,500,1,"stand",NA
"DI20",511,61109,511,20,NA,"not specified - std_aft/nov"
"DI11",500,61609,500,11,NA,"ignore"
"DIN1",500,62109,500,1,"stand",NA
"DIN1",500,62609,500,1,"stand",NA
"DI31",512,63121,512,31,"Dog_A_S?_Dog_V",NA
"DI11",500,63621,500,11,NA,"ignore"
"DIN1",499,64120,499,1,"stand",NA
"DIN1",500,64620,500,1,"stand",NA
"DI22",512,65132,512,22,"Cat_A_S?_Dog_V",NA
"DI11",500,65632,500,11,NA,"ignore"
"DIN1",500,66132,500,1,"stand",NA
"DI31",514,66646,514,31,"Dog_A_S?_Dog_V",NA
"DI11",500,67146,500,11,NA,"ignore"
"DIN1",500,67646,500,1,"stand",NA
"DIN1",500,68146,500,1,"stand",NA
"DI10",511,68657,511,10,NA,"not specified - std_aft/nov"
"DI11",500,69157,500,11,NA,"ignore"
"D202",457,69614,457,202,"Response",NA
"DIN1",43,69657,43,1,"stand",NA
"DIN1",500,70157,500,1,"stand",NA
"DI21",511,70668,511,21,"Cat_A_S?_Cat_V",NA
"DI11",500,71168,500,11,NA,"ignore"
"DIN1",500,71668,500,1,"stand",NA
"DI21",514,72182,514,21,"Cat_A_S?_Cat_V",NA
"DI11",500,72682,500,11,NA,"ignore"
"DIN1",500,73182,500,1,"stand",NA
"DIN1",500,73682,500,1,"stand",NA
"DI21",511,74193,511,21,"Cat_A_S?_Cat_V",NA
"DI11",500,74693,500,11,NA,"ignore"
"DIN1",500,75193,500,1,"stand",NA
"DIN1",500,75693,500,1,"stand",NA
"DI20",511,76204,511,20,NA,"not specified - std_aft/nov"
"DI11",501,76705,501,11,NA,"ignore"
"DIN1",500,77205,500,1,"stand",NA
"DIN1",500,77705,500,1,"stand",NA
"DI31",512,78217,512,31,"Dog_A_S?_Dog_V",NA
"DI11",500,78717,500,11,NA,"ignore"
"DIN1",500,79217,500,1,"stand",NA
"DI31",513,79730,513,31,"Dog_A_S?_Dog_V",NA
"DI11",500,80230,500,11,NA,"ignore"
"DIN1",500,80730,500,1,"stand",NA
"DI10",514,81244,514,10,NA,"not specified - std_aft/nov"
"DI11",500,81744,500,11,NA,"ignore"
"DIN1",500,82244,500,1,"stand",NA
"DIN1",500,82744,500,1,"stand",NA
"DI32",511,83255,511,32,"Dog_A_S?_Cat_V",NA
"DI11",500,83755,500,11,NA,"ignore"
"DIN1",500,84255,500,1,"stand",NA
"DI32",514,84769,514,32,"Dog_A_S?_Cat_V",NA
"DI11",500,85269,500,11,NA,"ignore"
"DIN1",500,85769,500,1,"stand",NA
"DI20",513,86282,513,20,NA,"not specified - std_aft/nov"
"DI11",500,86782,500,11,NA,"ignore"
"DIN1",500,87282,500,1,"stand",NA
"DIN1",500,87782,500,1,"stand",NA
"DI31",511,88293,511,31,"Dog_A_S?_Dog_V",NA
"DI11",500,88793,500,11,NA,"ignore"
"DIN1",500,89293,500,1,"stand",NA
"DI31",514,89807,514,31,"Dog_A_S?_Dog_V",NA
"DI11",500,90307,500,11,NA,"ignore"
"DIN1",500,90807,500,1,"stand",NA
"DI10",514,91321,514,10,NA,"not specified - std_aft/nov"
"DI11",500,91821,500,11,NA,"ignore"
"D202",185,92006,185,202,"Response",NA
"DIN1",315,92321,315,1,"stand",NA
"DIN1",500,92821,500,1,"stand",NA
"D202",89,92910,89,202,"Response",NA
"DI21",422,93332,422,21,"Cat_A_S?_Cat_V",NA
"DI11",500,93832,500,11,NA,"ignore"
"DIN1",500,94332,500,1,"stand",NA
"DI21",514,94846,514,21,"Cat_A_S?_Cat_V",NA
"DI11",500,95346,500,11,NA,"ignore"
"DIN1",500,95846,500,1,"stand",NA
"DIN1",500,96346,500,1,"stand",NA
"DI32",511,96857,511,32,"Dog_A_S?_Cat_V",NA
