"evt","SOA","Latency","Offset","evt_num","evt_fin","note"
"DIN1",0,1912,0,1,"stand",NA
"DIN2",425,2337,425,2,"freq1","1 = up?"
"DIN1",500,2837,500,1,"stand",NA
"DIN8",500,3337,500,8,"gap",NA
"DIN1",500,3837,500,1,"stand",NA
"DIN7",500,4337,500,7,"loc2","2 = right?"
"DIN1",500,4837,500,1,"stand",NA
"DIN4",500,5337,500,4,"int",NA
"DIN1",500,5837,500,1,"stand",NA
"DIN9",501,6338,501,9,"novel",NA
"DIN1",500,6838,500,1,"stand",NA
"DIN5",500,7338,500,5,"dur",NA
"DIN1",500,7838,500,1,"stand",NA
"DIN4",500,8338,500,4,"int",NA
"DIN1",500,8838,500,1,"stand",NA
"DIN9",500,9338,500,9,"novel",NA
"DIN1",500,9838,500,1,"stand",NA
"DIN4",500,10338,500,4,"int",NA
"DIN1",500,10838,500,1,"stand",NA
"DIN9",500,11338,500,9,"novel",NA
"DIN1",500,11838,500,1,"stand",NA
"DIN2",500,12338,500,2,"freq1","1 = up?"
"DIN1",500,12838,500,1,"stand",NA
"DIN8",500,13338,500,8,"gap",NA
"DIN1",500,13838,500,1,"stand",NA
"DIN6",500,14338,500,6,"loc1","1 = left?"
"DIN1",500,14838,500,1,"stand",NA
"DIN9",500,15338,500,9,"novel",NA
"DIN1",500,15838,500,1,"stand",NA
"DIN2",500,16338,500,2,"freq1","1 = up?"
"DIN1",500,16838,500,1,"stand",NA
"DIN5",500,17338,500,5,"dur",NA
"DIN1",500,17838,500,1,"stand",NA
"DIN6",500,18338,500,6,"loc1","1 = left?"
"DIN1",500,18838,500,1,"stand",NA
"DIN2",501,19339,501,2,"freq1","1 = up?"
"DIN1",500,19839,500,1,"stand",NA
"DIN5",500,20339,500,5,"dur",NA
"DIN1",500,20839,500,1,"stand",NA
"DIN8",500,21339,500,8,"gap",NA
"DIN1",500,21839,500,1,"stand",NA
"DIN4",500,22339,500,4,"int",NA
"DIN1",500,22839,500,1,"stand",NA
"DIN8",500,23339,500,8,"gap",NA
"DIN1",500,23839,500,1,"stand",NA
"DIN5",500,24339,500,5,"dur",NA
"DIN1",500,24839,500,1,"stand",NA
"DIN6",500,25339,500,6,"loc1","1 = left?"
"DIN1",500,25839,500,1,"stand",NA
"DIN5",500,26339,500,5,"dur",NA
"DIN1",500,26839,500,1,"stand",NA
"DIN3",500,27339,500,3,"freq2","2 = down?"
"DIN1",500,27839,500,1,"stand",NA
"DIN8",500,28339,500,8,"gap",NA
"DIN1",500,28839,500,1,"stand",NA
"DIN5",500,29339,500,5,"dur",NA
"DIN1",500,29839,500,1,"stand",NA
"DIN2",500,30339,500,2,"freq1","1 = up?"
"DIN1",500,30839,500,1,"stand",NA
"DIN6",500,31339,500,6,"loc1","1 = left?"
"DIN1",500,31839,500,1,"stand",NA
"DIN9",500,32339,500,9,"novel",NA
"DIN1",500,32839,500,1,"stand",NA
"DIN8",500,33339,500,8,"gap",NA
"DIN1",500,33839,500,1,"stand",NA
"DIN6",500,34339,500,6,"loc1","1 = left?"
"DIN1",500,34839,500,1,"stand",NA
"DIN4",501,35340,501,4,"int",NA
"DIN1",500,35840,500,1,"stand",NA
"DIN5",500,36340,500,5,"dur",NA
"DIN1",500,36840,500,1,"stand",NA
"DIN6",500,37340,500,6,"loc1","1 = left?"
"DIN1",500,37840,500,1,"stand",NA
"DIN2",500,38340,500,2,"freq1","1 = up?"
"DIN1",500,38840,500,1,"stand",NA
"DIN8",500,39340,500,8,"gap",NA
"DIN1",500,39840,500,1,"stand",NA
"DIN6",500,40340,500,6,"loc1","1 = left?"
"DIN1",500,40840,500,1,"stand",NA
"DIN9",500,41340,500,9,"novel",NA
"DIN1",500,41840,500,1,"stand",NA
"DIN4",500,42340,500,4,"int",NA
"DIN1",500,42840,500,1,"stand",NA
"DIN9",500,43340,500,9,"novel",NA
"DIN1",500,43840,500,1,"stand",NA
"DIN5",500,44340,500,5,"dur",NA
"DIN1",500,44840,500,1,"stand",NA
"DIN9",500,45340,500,9,"novel",NA
"DIN1",500,45840,500,1,"stand",NA
"DIN4",500,46340,500,4,"int",NA
"DIN1",500,46840,500,1,"stand",NA
"DIN8",500,47340,500,8,"gap",NA
"DIN1",500,47840,500,1,"stand",NA
"DIN3",500,48340,500,3,"freq2","2 = down?"
"DIN1",500,48840,500,1,"stand",NA
"DIN4",500,49340,500,4,"int",NA
"DIN1",500,49840,500,1,"stand",NA
"DIN5",501,50341,501,5,"dur",NA
"DIN1",500,50841,500,1,"stand",NA
"DIN9",500,51341,500,9,"novel",NA
"DIN1",500,51841,500,1,"stand",NA
"DIN8",500,52341,500,8,"gap",NA
"DIN1",500,52841,500,1,"stand",NA
"DIN9",500,53341,500,9,"novel",NA
"DIN1",500,53841,500,1,"stand",NA
"DIN3",500,54341,500,3,"freq2","2 = down?"
"DIN1",500,54841,500,1,"stand",NA
"DIN4",500,55341,500,4,"int",NA
"DIN1",500,55841,500,1,"stand",NA
"DIN3",500,56341,500,3,"freq2","2 = down?"
"DIN1",500,56841,500,1,"stand",NA
"DIN5",500,57341,500,5,"dur",NA
"DIN1",500,57841,500,1,"stand",NA
"DIN4",500,58341,500,4,"int",NA
"DIN1",500,58841,500,1,"stand",NA
"DIN6",500,59341,500,6,"loc1","1 = left?"
"DIN1",500,59841,500,1,"stand",NA
"DIN3",500,60341,500,3,"freq2","2 = down?"
"DIN1",500,60841,500,1,"stand",NA
"DIN7",500,61341,500,7,"loc2","2 = right?"
"DIN1",500,61841,500,1,"stand",NA
"DIN9",500,62341,500,9,"novel",NA
"DIN1",500,62841,500,1,"stand",NA
"DIN3",500,63341,500,3,"freq2","2 = down?"
"DIN1",500,63841,500,1,"stand",NA
"DIN4",499,64340,499,4,"int",NA
"DIN1",500,64840,500,1,"stand",NA
"DIN8",500,65340,500,8,"gap",NA
"DIN1",502,65842,502,1,"stand",NA
"DIN5",500,66342,500,5,"dur",NA
"DIN1",500,66842,500,1,"stand",NA
"DIN6",500,67342,500,6,"loc1","1 = left?"
"DIN1",500,67842,500,1,"stand",NA
