"evt","SOA","Latency","Offset","evt_num","evt_descr","note"
"DIN1",0,52006,0,1,"std_key","standard for key"
"DIN2",349,52355,349,2,"std_rhythm","standard for rhythm"
"DIN3",180,52535,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,52895,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,53075,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,53435,360,4,"std_timbre","standard for timbre"
"DIN1",710,54145,710,1,"std_key","standard for key"
"DIN2",360,54505,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,54685,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,55045,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,55225,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,55585,360,4,"std_timbre","standard for timbre"
"DIN5",710,56295,710,5,"key","key change"
"DI22",360,56655,360,22,NA,NA
"DI23",180,56835,180,23,NA,NA
"DI22",360,57195,360,22,NA,NA
"DI23",180,57375,180,23,NA,NA
"DI24",360,57735,360,24,NA,NA
"DIN1",710,58445,710,1,"std_key","standard for key"
"DIN2",360,58805,360,2,"std_rhythm","standard for rhythm"
"DI10",180,58985,180,10,"rhythm2","rhythm change (short tone)"
"DI14",180,59165,180,14,NA,NA
"DIN3",360,59525,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,59885,360,4,"std_timbre","standard for timbre"
"DIN1",710,60595,710,1,"std_key","standard for key"
"DIN2",360,60955,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,61135,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,61315,180,6,"melody","melody change"
"DI14",360,61675,360,14,NA,NA
"DIN4",360,62035,360,4,"std_timbre","standard for timbre"
"DIN5",710,62745,710,5,"key","key change"
"DI22",360,63105,360,22,NA,NA
"DI22",180,63285,180,22,NA,NA
"DI23",180,63465,180,23,NA,NA
"DI23",360,63825,360,23,NA,NA
"DIN9",360,64185,360,9,"timbre2","timbre (end of melody)"
"DIN1",700,64885,700,1,"std_key","standard for key"
"DIN2",360,65245,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,65425,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,65605,180,6,"melody","melody change"
"DI14",360,65965,360,14,NA,NA
"DI15",360,66325,360,15,NA,NA
"DIN5",710,67035,710,5,"key","key change"
"D101",360,67395,360,101,"rhythm1","rhythm change (long tone)"
"DI13",360,67755,360,13,NA,NA
"DI13",180,67935,180,13,NA,NA
